transaction_id:0, Start
INFO:transaction history:transaction_id:0, Start
transaction_id:0, query_type:increment, key:92107359, old value:0, update_column: 1
INFO:transaction history:transaction_id:0, query_type:increment, key:92107359, old value:0, update_column: 1
transaction_id:1, Start
INFO:transaction history:transaction_id:1, Start
transaction_id:0, query_type:increment, key:92107360, old value:0, update_column: 1
INFO:transaction history:transaction_id:0, query_type:increment, key:92107360, old value:0, update_column: 1
transaction_id:1, query_type:increment, key:92107049, old value:0, update_column: 1
INFO:transaction history:transaction_id:1, query_type:increment, key:92107049, old value:0, update_column: 1
transaction_id:0, query_type:increment, key:92107361, old value:0, update_column: 1
INFO:transaction history:transaction_id:0, query_type:increment, key:92107361, old value:0, update_column: 1
transaction_id:1, query_type:increment, key:92107050, old value:0, update_column: 1
INFO:transaction history:transaction_id:1, query_type:increment, key:92107050, old value:0, update_column: 1
transaction_id:0, query_type:increment, key:92107362, old value:0, update_column: 1
INFO:transaction history:transaction_id:0, query_type:increment, key:92107362, old value:0, update_column: 1
transaction_id:2, Start
INFO:transaction history:transaction_id:2, Start
transaction_id:3, Start
INFO:transaction history:transaction_id:3, Start
transaction_id:1, query_type:increment, key:92107051, old value:0, update_column: 1
INFO:transaction history:transaction_id:1, query_type:increment, key:92107051, old value:0, update_column: 1
transaction_id:0, query_type:increment, key:92107363, old value:0, update_column: 1
INFO:transaction history:transaction_id:0, query_type:increment, key:92107363, old value:0, update_column: 1
transaction_id:2, query_type:increment, key:92106499, old value:0, update_column: 1
INFO:transaction history:transaction_id:2, query_type:increment, key:92106499, old value:0, update_column: 1
transaction_id:4, Start
INFO:transaction history:transaction_id:4, Start
transaction_id:3, query_type:increment, key:92107209, old value:0, update_column: 1
INFO:transaction history:transaction_id:3, query_type:increment, key:92107209, old value:0, update_column: 1
transaction_id:5, Start
INFO:transaction history:transaction_id:5, Start
transaction_id:1, query_type:increment, key:92107052, old value:0, update_column: 1
INFO:transaction history:transaction_id:1, query_type:increment, key:92107052, old value:0, update_column: 1
transaction_id:6, Start
INFO:transaction history:transaction_id:6, Start
transaction_id:0, query_type:increment, key:92107364, old value:0, update_column: 1
INFO:transaction history:transaction_id:0, query_type:increment, key:92107364, old value:0, update_column: 1
transaction_id:2, query_type:increment, key:92106500, old value:0, update_column: 1
INFO:transaction history:transaction_id:2, query_type:increment, key:92106500, old value:0, update_column: 1
transaction_id:7, Start
INFO:transaction history:transaction_id:7, Start
transaction_id:4, query_type:increment, key:92107419, old value:0, update_column: 1
INFO:transaction history:transaction_id:4, query_type:increment, key:92107419, old value:0, update_column: 1
transaction_id:3, query_type:increment, key:92107210, old value:0, update_column: 1
INFO:transaction history:transaction_id:3, query_type:increment, key:92107210, old value:0, update_column: 1
transaction_id:5, query_type:increment, key:92107159, old value:0, update_column: 1
INFO:transaction history:transaction_id:5, query_type:increment, key:92107159, old value:0, update_column: 1
